method_name,stuck_type,mechanism,best_for,depth,notes
TRIZ Contradiction Resolution,contradiction,"State the trade-off as two measurable parameters, map to the 39 parameters, draw inventive principles, translate each into the domain","Engineering and system trade-offs where every fix costs something else",deep,"Physical contradictions try the four separation principles first; often dissolve without the matrix"
TRIZ Separation Principles,contradiction,"Separate the opposing demands in time, space, whole-vs-part, or by condition","One parameter must hold two opposite values at once",medium,"Fastest TRIZ path; try before the matrix"
Biomimicry,blank-page,"Biologize the function, find biological champions, extract the mechanism, translate back, test against Life's Principles","Resource, resilience, scaling, and self-organizing problems",deep,"Mechanism transfers; organism does not. Label metaphor-only translations"
Synectics,blank-page,"Make the familiar strange through direct, personal, symbolic and fantasy analogies, then force-fit the most alien one","Concept origination when the space feels empty",medium,"Personal analogy feels silly and is the highest-yield of the four"
Lateral Thinking,pattern-lock,"Name the dominant idea, break it with PO provocations, apply movement rather than judgement, random entry, concept fan","Every idea is a variant of the same idea",medium,"Movement not judgement is the whole discipline; evaluating provocations kills the method"
Morphological Analysis,combinatorial,"Decompose into independent parameters, enumerate options, cross-consistency filter, harvest non-obvious configurations","Many independent design knobs, unclear which combination wins",deep,"Cross-consistency pass is mandatory or the space explodes"
Assumption Reversal,pattern-lock,"List every assumption, invert each, rebuild on the inverted foundation","Long-held constraints nobody has re-examined",light,"Cheap opener before a deeper method"
Reverse Brainstorming,pattern-lock,"Ask how to guarantee failure, then invert each failure mode into a requirement","Teams that critique better than they create",light,"Also doubles as a risk register"
Constraint Injection,blank-page,"Impose an absurd constraint (10x cheaper, one page, no server, offline only) and solve under it","Solutions that have grown fat and undifferentiated",light,"Constraints produce more novelty than freedom does"
First Principles Rebuild,contradiction,"Strip to physical or economic bedrock, discard every inherited practice, rebuild from truth","Inherited architectures nobody chose deliberately",deep,"Expensive; use when the trade-off may be an artifact of legacy, not physics"
