n,parameter,classic_meaning,software_analogue
1,Weight of moving object,Mass of an object in motion,"Payload size, bundle size, request body weight"
2,Weight of stationary object,Mass of an object at rest,"Stored data volume, artifact size at rest"
3,Length of moving object,Any linear dimension of a moving object,"Path length, number of hops, call-chain depth"
4,Length of stationary object,Any linear dimension of a static object,"Schema breadth, URL depth, document length"
5,Area of moving object,Surface of a moving object,"Surface area of the API in motion, exposed endpoints"
6,Area of stationary object,Surface of a static object,"Attack surface, UI screen real estate, footprint"
7,Volume of moving object,Cubic space occupied by a moving object,"In-flight working set, memory during processing"
8,Volume of stationary object,Cubic space occupied by a static object,"Database size, storage footprint"
9,Speed,Velocity of a process or object,"Throughput, response speed, rate of ingestion"
10,Force,Interaction intended to change state,"Effort required to force a change, migration push"
11,Stress or pressure,Force per unit area; tension,"Load per node, contention, pressure on a bottleneck"
12,Shape,External contour or appearance,"Data shape, API shape, information architecture"
13,Stability of the object's composition,Integrity and resistance to decomposition,"Data integrity, schema stability, invariants holding"
14,Strength,Resistance to breaking under force,"Robustness under load or malformed input"
15,Duration of action of moving object,How long a moving object performs,"Session lifetime, job runtime, token lifetime"
16,Duration of action of stationary object,How long a static object lasts,"Retention period, archive durability, record longevity"
17,Temperature,Thermal condition,"Hotness of data or traffic, activity intensity"
18,Illumination intensity,Light flux and quality,"Visibility, observability, how clearly state is shown"
19,Use of energy by moving object,Energy consumed during operation,"Compute cost per request, LLM tokens per operation"
20,Use of energy by stationary object,Energy consumed at rest,"Idle infrastructure cost, standby cost"
21,Power,Rate of energy use; work per time,"Capacity, concurrency ceiling, peak processing rate"
22,Loss of energy,Energy wasted,"Wasted compute, redundant calls, cache misses"
23,Loss of substance,Material lost from the system,"Data loss, dropped events, lost contributions"
24,Loss of information,Data or access to data lost,"Lost provenance, lost context, undocumented knowledge"
25,Loss of time,Time wasted by the process,"Latency, review turnaround, human waiting time"
26,Quantity of substance,Amount of material or components,"Number of records, entities, or components to manage"
27,Reliability,Ability to perform predictably,"Uptime, correctness rate, reproducibility"
28,Measurement accuracy,Closeness of measured to actual value,"Data accuracy, extraction fidelity, match precision"
29,Manufacturing precision,Conformance of output to specification,"Output conformance, schema validity, generation fidelity"
30,External harm affects the object,Susceptibility to external damage,"Vulnerability to abuse, spam, prompt injection, bad input"
31,Object-generated harmful factors,Harm the system itself produces,"Hallucination, notification fatigue, privacy leakage, noise"
32,Ease of manufacture,Difficulty of producing the object,"Ease of building and shipping the feature"
33,Ease of operation,Difficulty for the user to operate it,"Usability, learnability, elder-friendliness"
34,Ease of repair,Difficulty of fixing faults,"Debuggability, ease of correcting bad data"
35,Adaptability or versatility,Ability to respond to external change,"Configurability, ability to serve a second clan or use case"
36,Device complexity,Number and diversity of elements,"System complexity, number of moving parts to operate"
37,Difficulty of detecting and measuring,Cost and complexity of monitoring,"Observability cost, difficulty of detecting bad data"
38,Extent of automation,Degree to which it runs without a human,"Automation level, human-in-the-loop burden"
39,Productivity,Useful output per unit time,"Records processed per hour, contributions per campaign"
