family,direction,thesis,reference_world,colour_character,type_character,texture,best_for,cost
heritage,Ink and Rice Paper,"The screen behaves like a hand-bound book — warm ground, ink-black text, red seal as the only accent","Woodblock-printed genealogies, seal script, hand-bound folios","Warm off-white ground, ink black, one cinnabar red, aged-paper mid-tones","Serif with brush-derived contrast for headings, humanist sans for body","Fine paper grain, subtle ink bleed at heading edges","Genealogy, archives, literary and ceremonial products, print crossover","Photographs sit awkwardly on warm ground; needs a defined frame treatment"
heritage,Lacquer and Gold,"Depth through darkness — near-black lacquer ground with gold and vermilion emerging from it","Vietnamese sơn mài lacquerware, temple interiors, gilded ancestral tablets","Deep lacquer brown-black, gold, vermilion, mother-of-pearl pale","High-contrast serif display, restrained sans body","Lacquer sheen gradients, fine gold rule lines","Ceremonial surfaces, hero moments, annual publications","Dark-only is hostile to long reading and to projectors in bright halls"
heritage,Village Blue,"Everyday dignity — indigo cloth, whitewash and terracotta; humble rather than imperial","Indigo-dyed cloth, whitewashed courtyard walls, terracotta roof tile","Indigo, whitewash, terracotta, straw","Slab or sturdy humanist serif, generous body sans","Woven cloth texture, uneven whitewash edge","Community platforms, participation-first products","Reads folk-craft; can undercut authority if the product must feel official"
heritage,Stone Stele,"Permanence — carved text on stone, deep shadow, almost no colour","Văn bia stone steles, temple inscriptions, rubbings","Stone grey range, charcoal, one moss green or rust accent","Carved-letterform serif, wide tracking on headings","Stone grain, rubbing texture, deep incised shadow","Memorial sections, records meant to feel permanent","Very low colour range makes state encoding hard; needs shape cues"
editorial,Quiet Broadsheet,"The content is the design — strong typographic hierarchy, hairline rules, almost no colour","Broadsheet newspapers, academic journals, printed annual reports","Paper white, ink black, one accent used sparingly","Serif headline, serif or sans body, tabular numerals","None — rules and whitespace only","Long-form narrative, reports, dense record pages","Can read as austere; needs photography or the tree to carry warmth"
editorial,Archive Index,"Everything is catalogued — visible structure, labels, reference numbers, monospaced metadata","Library catalogues, museum accession labels, archival finding aids","Neutral greys, one archival ochre, muted semantic set","Sans for content, monospace for identifiers and dates","Faint ruled grid","Data-heavy products, search-first interfaces, verification workflows","Feels clinical; hard to make emotionally warm for family or memorial content"
modern,Warm Minimal,"Restraint with body heat — spacious, few elements, warm neutrals instead of cold grey","Contemporary Japanese product design, warm-neutral editorial sites","Warm neutral scale, one deep accent, near-black text","Single humanist sans with a real weight range","None or a barely-there grain","Broad-audience products, mixed young and old users","Easy to reach and easy to be forgettable; the accent must be brave"
modern,Structured Grid,"Confidence through system — visible grid, strong alignment, colour used as information only","Swiss typographic design, transit and wayfinding systems","Neutral base with a functional colour set carrying meaning","Grotesque sans, tight scale, few weights","None","Dashboards, admin tools, anything where colour must mean something","Cold for memorial or family content; carries no cultural voice"
expressive,Living Map,"The visualisation is the identity — the tree or map defines colour, line weight and motion; UI recedes","Cartography, scientific diagrams, subway maps","Base neutral plus a graded generational or temporal scale","Compact sans with excellent small-size legibility","None on the canvas; texture only at page edges","Products whose core object is a graph, tree, or map","Requires the visualisation to be finished first; chicken-and-egg risk"
expressive,Ceremonial Light,"Built around annual ritual — the ordinary state is quiet, the ceremonial state is luminous","Lantern festivals, altar candlelight, seasonal ritual","Muted base, luminous warm accent reserved for ceremonial moments","Serif display for ceremonial, plain sans for everyday","Soft light bloom, restricted to ceremonial surfaces","Products with a strong annual rhythm — anniversaries, memorial days","Two modes double the design and testing work"
