n,principle,classic_meaning,software_analogue,provocation_prompt
1,Segmentation,"Divide an object into independent parts; make it sectional; increase its degree of fragmentation","Microservices, sharding, code splitting, modular permissions per record","What if this were split into parts that can each be replaced alone?"
2,Taking Out,"Extract the disturbing part or property; or extract only the necessary part","Pull the hot path out of the monolith; extract the one noisy feature into its own service","What single part causes most of the trouble, and what if it lived elsewhere?"
3,Local Quality,"Change structure from uniform to non-uniform; let each part serve a different condition","Tiered storage, per-branch permissions, different UX for elders vs youth","Why is every part treated identically when the parts are not identical?"
4,Asymmetry,"Replace symmetry with asymmetry; increase the degree of asymmetry","Read replicas vs write primary, asymmetric approval rights, one-way sync","What if the two sides were deliberately unequal?"
5,Merging,"Bring identical or adjacent objects together; make operations parallel or contiguous","Batching, bulk endpoints, combining review queues, one event for many notifications","What things are handled one at a time that could be handled as a set?"
6,Universality,"Make an object perform multiple functions, eliminating the need for others","One data model that serves display, print and export; one identity that serves auth and lineage","Which two components could become one that does both jobs?"
7,Nested Doll,"Place one object inside another, and that inside a third","Nested trees, ltree paths, embedded documents, sub-branch inside branch inside clan","What if containment replaced linkage?"
8,Anti-Weight,"Compensate an object's weight by merging it with something that provides lift","Offset a heavy feature by pairing it with something that makes it feel light — progressive disclosure, defaults","What could carry this weight for the user instead of the user carrying it?"
9,Preliminary Anti-Action,"Pre-load a counter-stress before the harmful action occurs","Rate limits and validation before submit; pre-emptive conflict checks before a merge","What stress arrives later that could be pre-loaded against now?"
10,Preliminary Action,"Perform the required change before it is needed; pre-arrange objects for instant action","Precompute, prefetch, pre-generate the reminder, pre-index the search corpus","What work happens at request time that could already be done?"
11,Beforehand Cushioning,"Prepare emergency means beforehand to compensate for low reliability","Backups, audit log, undo, draft state, soft delete, approval rollback","What is the emergency you have not prepared a cushion for?"
12,Equipotentiality,"Change operating conditions so nothing needs to be raised or lowered","Remove the privilege escalation step entirely; same interface at every level","What step exists only to move something up or down a hierarchy?"
13,The Other Way Round,"Invert the action; make movable parts fixed and fixed parts movable; turn it upside down","Push instead of pull; let contributors propose and elders approve rather than elders enter","What if the direction of the whole flow were reversed?"
14,Spheroidality,"Replace linear parts with curved; use rollers, spirals; go from linear to rotary motion","Cyclical processes instead of pipelines; recurring annual rhythm instead of one-shot launch","What if this were a cycle rather than a line with an end?"
15,Dynamics,"Make characteristics adjustable to be optimal at each stage; divide rigid parts so they can move","Adaptive UI, configurable rules, feature flags, per-clan customization","What is fixed today that should adapt per context?"
16,Partial or Excessive Action,"If exactness is hard, do slightly less or slightly more — the problem may become easier","Approximate matching, draft-quality output for review, over-collect then filter","What becomes easy if you stop insisting on exactly right?"
17,Another Dimension,"Move to multi-storey or multi-dimensional arrangement; tilt or re-orient; use the other side","Add the time axis; add the geographic axis; render a tree as a fan or a map","What dimension is being ignored — time, place, generation, role?"
18,Mechanical Vibration,"Oscillate; increase frequency; use resonance","Polling, periodic sweeps, recurring nudges, campaign cadence","What if this ran rhythmically instead of once?"
19,Periodic Action,"Replace continuous action with periodic or pulsing action; use pauses between pulses","Scheduled jobs instead of live listeners; quarterly campaigns instead of always-on nagging","What would be better as a pulse than as a constant?"
20,Continuity of Useful Action,"Work without idle intervals; eliminate all idle and intermittent operation","Background workers that never sit idle; make the quiet period do useful work","What resource is idle most of the time?"
21,Skipping,"Conduct a harmful or hazardous process at high speed","Do the painful migration in one fast cutover instead of a long dual-write","What pain shrinks if you go through it faster instead of gentler?"
22,Blessing in Disguise,"Use a harmful factor to achieve a positive effect; amplify a harm until it stops being harmful","Turn data conflicts into verification tasks; turn rivalry between branches into a contribution leaderboard","What is currently a problem that could become the engine?"
23,Feedback,"Introduce feedback; if feedback exists, reverse or change its magnitude","Contribution scores, validation loops, showing the user the effect of their edit immediately","Where does the actor never learn the result of their action?"
24,Intermediary,"Use an intermediary carrier or process; merge one object temporarily with another","Adapter layer, moderator role, staging table, a broker between contributor and record","Who or what should stand between these two that currently touch directly?"
25,Self-Service,"Make the object serve and repair itself; make use of waste resources","Self-healing data, crowdsourced correction, users maintaining their own subtree","What maintenance could the system or its users do for themselves?"
26,Copying,"Use a cheap copy instead of the fragile original; replace the object with optical copies","Scan the fragile original and work from the digital copy; use previews instead of full assets","What irreplaceable thing is being handled directly?"
27,Cheap Short-Living,"Replace an expensive object with many cheap ones, forgoing some qualities","Disposable environments, throwaway prototypes, ephemeral share links","What if this were disposable instead of durable?"
28,Mechanics Substitution,"Replace a mechanical means with sensory, field, or electronic means","Replace manual review with a rule engine; replace form entry with vision OCR or speech","What manual mechanism could be replaced by a different medium entirely?"
29,Pneumatics and Hydraulics,"Use gas and liquid parts instead of solid ones","Elastic infrastructure, streaming rather than batch, fluid layouts","What rigid structure could become a flow?"
30,Flexible Shells and Thin Films,"Use flexible shells and thin films instead of three-dimensional structures","Thin adapters, façade over legacy, a lightweight wrapper instead of a rewrite","What heavy structure could be a thin skin over what exists?"
31,Porous Materials,"Make an object porous or add porous elements; use pores to carry substances","Plugin points, extension hooks, optional fields that carry unforeseen data","Where should the system have holes on purpose?"
32,Color Changes,"Change the color or transparency of an object or its environment","Visual state encoding, highlighting the path, opacity for uncertain data, colour-coded branches","What invisible state should become visible at a glance?"
33,Homogeneity,"Make interacting objects from the same material or with the same properties","One language end-to-end, shared types, one schema across import and export","What impedance mismatch exists because two parts are made of different stuff?"
34,Discarding and Recovering,"Discard parts that have done their job; restore consumable parts during operation","Garbage collection, expiring caches, archiving completed tasks, regenerating derived data","What should disappear after use instead of accumulating?"
35,Parameter Changes,"Change the physical state, concentration, flexibility, or temperature","Change granularity, change refresh rate, change from strict to eventual consistency","Which dial has never actually been turned?"
36,Phase Transitions,"Use phenomena occurring during phase transitions — volume change, heat loss or absorption","Exploit the moment of change: onboarding, a death in the family, a new birth, an annual ceremony","What happens at the moment of transition that could be harnessed?"
37,Thermal Expansion,"Use thermal expansion or contraction of materials","Let the system expand under load and contract when quiet; seasonal capacity","What should grow and shrink with the season of use?"
38,Enriched Atmosphere,"Replace common air with enriched or oxygenated air","Enrich the context: give the model, or the person, richer surrounding information before they act","What decision is being made in a thin-information environment?"
39,Inert Atmosphere,"Replace the normal environment with an inert one; add neutral parts or additives","Sandboxes, dry-run mode, staging, read-only demo of sensitive data","Where do you need a space in which mistakes cannot react?"
40,Composite Materials,"Replace homogeneous materials with composite ones","Hybrid retrieval (vector + keyword), rules plus LLM, human approval plus automation","What single-material solution should become a deliberate composite?"
